epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.55896,1.89081,2.2176,1.3347,0.67254,0.57895,0.6546,0.37616,1.5306,1.45965,1.11477,0.000660194,0.000660194,0.000660194
2,12.5878,1.57319,1.1988,1.14866,0.80161,0.60128,0.70108,0.4093,1.53004,1.2389,1.11986,0.00132029,0.00132029,0.00132029
3,18.5858,1.4957,1.11338,1.13163,0.7553,0.7181,0.7625,0.439,1.42004,1.27504,1.08688,0.00197379,0.00197379,0.00197379
4,24.5087,1.48108,1.05903,1.12552,0.78019,0.70335,0.7742,0.49209,1.32992,1.22461,1.06371,0.0019703,0.0019703,0.0019703
5,30.4246,1.42626,0.99725,1.08995,0.79974,0.77791,0.84131,0.53578,1.27009,1.02432,1.03019,0.0019604,0.0019604,0.0019604
6,36.3292,1.36639,0.9551,1.08131,0.83738,0.73086,0.82925,0.55412,1.24212,0.97691,1.02511,0.0019505,0.0019505,0.0019505
7,42.2472,1.35485,0.91804,1.07973,0.81909,0.75439,0.82624,0.54954,1.2492,0.91751,1.01451,0.0019406,0.0019406,0.0019406
8,48.1756,1.33416,0.88876,1.06705,0.78343,0.77233,0.81419,0.54383,1.22497,1.02347,1.00254,0.0019307,0.0019307,0.0019307
9,54.033,1.2745,0.85629,1.04499,0.8294,0.79266,0.85279,0.5715,1.19972,0.88436,0.99398,0.0019208,0.0019208,0.0019208
10,59.9685,1.27843,0.83943,1.03966,0.8172,0.76156,0.82974,0.54997,1.23795,0.93003,1.00666,0.0019109,0.0019109,0.0019109
11,65.8923,1.24531,0.80598,1.03095,0.81525,0.79351,0.85059,0.56929,1.21961,0.86483,0.99498,0.001901,0.001901,0.001901
12,71.8399,1.25899,0.81706,1.03042,0.82699,0.82718,0.88396,0.59581,1.18896,0.83554,0.98611,0.0018911,0.0018911,0.0018911
13,77.7724,1.2158,0.79035,1.02429,0.80175,0.77402,0.81351,0.5581,1.16969,0.89249,0.97903,0.0018812,0.0018812,0.0018812
14,83.6901,1.20518,0.77442,1.01235,0.81522,0.8126,0.84685,0.5868,1.13005,0.79015,0.96634,0.0018713,0.0018713,0.0018713
15,89.6049,1.18706,0.76942,1.00933,0.86089,0.82775,0.88646,0.60451,1.1414,0.86438,0.97221,0.0018614,0.0018614,0.0018614
16,95.5315,1.21209,0.77161,1.01616,0.87114,0.83533,0.89567,0.61822,1.13021,0.7472,0.96488,0.0018515,0.0018515,0.0018515
17,101.481,1.1717,0.74713,1.00208,0.86133,0.82716,0.8886,0.61456,1.13292,0.83196,0.96517,0.0018416,0.0018416,0.0018416
18,107.402,1.1708,0.73353,0.99554,0.86814,0.81061,0.89232,0.61764,1.15349,0.74211,0.97191,0.0018317,0.0018317,0.0018317
19,113.294,1.16447,0.73528,0.99689,0.86983,0.81579,0.89212,0.5969,1.18983,0.76243,0.97358,0.0018218,0.0018218,0.0018218
20,119.191,1.16015,0.7307,0.99358,0.87768,0.86523,0.91317,0.63352,1.09766,0.74845,0.9516,0.0018119,0.0018119,0.0018119
21,125.05,1.14573,0.71694,0.98838,0.88285,0.81858,0.89009,0.6343,1.09249,0.69903,0.95889,0.001802,0.001802,0.001802
22,131.045,1.14373,0.72003,0.98605,0.90088,0.86005,0.91826,0.65099,1.08404,0.70355,0.94712,0.0017921,0.0017921,0.0017921
23,137.027,1.13882,0.70252,0.98371,0.89174,0.84082,0.90776,0.63756,1.09641,0.68934,0.94417,0.0017822,0.0017822,0.0017822
24,142.951,1.1272,0.70055,0.98526,0.89728,0.83652,0.90217,0.63985,1.08752,0.73069,0.94766,0.0017723,0.0017723,0.0017723
25,148.9,1.10958,0.6924,0.97817,0.90908,0.84689,0.92052,0.66213,1.04069,0.64518,0.93882,0.0017624,0.0017624,0.0017624
26,154.848,1.11886,0.7019,0.98271,0.91046,0.84649,0.92332,0.66624,1.03761,0.64698,0.93571,0.0017525,0.0017525,0.0017525
27,160.864,1.10652,0.69586,0.97847,0.8962,0.84342,0.91606,0.65673,1.03571,0.69636,0.93257,0.0017426,0.0017426,0.0017426
28,166.926,1.1076,0.69452,0.97853,0.89518,0.85566,0.91113,0.64629,1.06301,0.70474,0.94421,0.0017327,0.0017327,0.0017327
29,172.954,1.10175,0.68434,0.96964,0.92109,0.8437,0.92191,0.66884,1.03114,0.63951,0.93023,0.0017228,0.0017228,0.0017228
30,178.876,1.09986,0.68173,0.96953,0.92898,0.8501,0.93044,0.6732,1.02288,0.62207,0.92562,0.0017129,0.0017129,0.0017129
31,184.838,1.07055,0.65918,0.96364,0.9283,0.8449,0.92469,0.6705,1.03467,0.63153,0.92717,0.001703,0.001703,0.001703
32,190.748,1.0612,0.65729,0.96266,0.88385,0.84648,0.90754,0.64921,1.05872,0.68412,0.936,0.0016931,0.0016931,0.0016931
33,196.748,1.08415,0.66533,0.96803,0.89202,0.86404,0.91893,0.6679,1.00921,0.66918,0.92642,0.0016832,0.0016832,0.0016832
34,202.649,1.07274,0.6548,0.96436,0.91737,0.86324,0.92888,0.66488,1.03974,0.62613,0.92615,0.0016733,0.0016733,0.0016733
35,208.637,1.05538,0.64354,0.95697,0.91211,0.87281,0.93146,0.67905,1.001,0.6257,0.92462,0.0016634,0.0016634,0.0016634
36,214.441,1.04386,0.63694,0.95341,0.92645,0.86124,0.93338,0.69154,0.9952,0.59786,0.92177,0.0016535,0.0016535,0.0016535
37,220.175,1.02128,0.62147,0.95363,0.92161,0.85327,0.92194,0.68023,0.99138,0.62338,0.92159,0.0016436,0.0016436,0.0016436
38,225.909,1.04921,0.64243,0.9582,0.92616,0.85367,0.92597,0.68305,0.99492,0.61702,0.9195,0.0016337,0.0016337,0.0016337
39,231.692,1.03588,0.63895,0.95194,0.91269,0.86443,0.92401,0.68595,0.99605,0.61559,0.92313,0.0016238,0.0016238,0.0016238
40,237.615,1.05899,0.63859,0.95794,0.92453,0.87432,0.93822,0.68882,1.00008,0.60567,0.91824,0.0016139,0.0016139,0.0016139
41,243.584,1.0071,0.61238,0.94482,0.94401,0.87392,0.94505,0.71073,0.95048,0.56078,0.90871,0.001604,0.001604,0.001604
42,249.518,1.0121,0.62023,0.94429,0.91129,0.87241,0.93532,0.69389,0.96512,0.6,0.91018,0.0015941,0.0015941,0.0015941
43,255.464,1.01264,0.62361,0.94551,0.92608,0.87421,0.9352,0.68952,0.984,0.5951,0.91092,0.0015842,0.0015842,0.0015842
